Celsius,Voltaje
31.433585107194627,0.12291142137788967
31.662470435645073,0.12352178225375754
31.967650873579,0.12252994583047226
32.27283131151294,0.12161440451667048
32.578011749446866,0.12046997787441825
32.88319218738079,0.11909666590371557
33.11207751583124,0.11787594415197986
33.49355306324865,0.11657892729076066
33.56984817273213,0.11535820553902495
33.798733501182575,0.11421377889677271
34.02761882963302,0.11306935225452049
34.33279926756695,0.11200122072175174
34.637979705500875,0.11123826962691691
34.79056992446784,0.11017013809414816
35.019455252918284,0.1091783016708629
35.24834058136873,0.1083390554665446
35.477225909819175,0.1074998092622263
35.70611123826962,0.10673685816739147
35.858701457236585,0.10620279240100709
36.08758678568703,0.10551613641565576
36.31647211413748,0.10482948043030442
36.469062333104446,0.10429541466392005
37.0794232089723,0.10376134889753567
36.92683299000534,0.10330357824063477
37.0794232089723,0.10261692225528343
37.53719386587319,0.10215915159838254
37.46089875638971,0.10162508583199817
37.689784084840156,0.10116731517509728
37.76607919432364,0.10093842984664683
37.99496452277408,0.10048065918974594
38.223849851224536,0.09994659342336157
38.3764400701915,0.0993362325474937
38.52903028915846,0.09903105210955977
38.68162050812543,0.09857328145265888
38.83421072709239,0.09819180590524147
39.063096055542836,0.09773403524834058
39.2156862745098,0.09742885481040665
39.29198138399328,0.09742885481040665
39.52086671244373,0.09727626459143969
39.67345693141069,0.09719996948195621
39.826047150377654,0.09674219882505532
39.97863736934462,0.09636072327763791
40.360112916762034,0.09590295262073702
40.28381780727855,0.0955214770733196
40.436408026245516,0.0950637064164187
40.74158846417944,0.09430075532158388
40.74158846417944,0.09407186999313344
40.97047379262989,0.093842984664683
40.97047379262989,0.09353780422674907
41.12306401159685,0.09315632867933166
41.3519493400473,0.09277485313191425
41.50453955901426,0.09239337758449684
41.657129777981226,0.09201190203707943
41.73342488746471,0.09170672159914549
41.96231021591515,0.09147783627069504
42.191195544365605,0.09132524605172808
42.191195544365605,0.0912489509422446
42.49637598229953,0.09102006561379415
42.49637598229953,0.0907911802853437
42.6489662012665,0.0907911802853437
42.80155642023346,0.09033340962844282
43.10673685816739,0.09018081940947585
43.18303196765087,0.0899519340810254
43.33562218661783,0.08964675364309148
43.4882124055848,0.08949416342412451
43.64080262455176,0.08918898298619059
44.02227817196918,0.08865491721980621
43.94598306248569,0.0882734416723888
44.17486839093614,0.0878156710154879
44.327458609903104,0.08728160524910353
44.48004882887007,0.08682383459220264
44.403753719386586,0.08659494926375219
44.70893415732051,0.08651865415426871
44.86152437628748,0.08644235904478523
45.166704814221404,0.08651865415426871
45.31929503318837,0.08674753948271915
45.39559014267185,0.08644235904478523
45.85336079957274,0.08644235904478523
45.85336079957274,0.08636606393530175
45.92965590905623,0.08621347371633478
46.00595101853971,0.0861371786068513
46.31113145647364,0.08583199816891737
46.23483634699016,0.08567940794995041
46.616311894407566,0.08552681773098345
46.76890211337453,0.08506904707408255
46.84519722285801,0.08484016174563211
46.997787441824975,0.08453498130769818
47.22667277027542,0.08422980086976425
47.379262989242385,0.08384832532234683
47.53185320820935,0.08339055466544594
47.68444342717631,0.0831616693369955
47.760738536659794,0.08293278400854505
47.53185320820935,0.08255130846112764
48.14221408407721,0.08239871824216068
47.98962386511025,0.08209353780422675
48.294804303044174,0.08201724269474327
48.44739452201114,0.08171206225680934
48.67627985046158,0.08140688181887541
48.752574959945065,0.08087281605249104
48.82887006942855,0.08041504539559015
